Feature Name	Importance Mean	Importance Std
O-057	0.02222711038961039	0.003548061986441414
mintsC	0.017724025974026	0.002661905056712114
ATS7m	0.015425649350649365	0.0033300377975343334
Hy	0.014257305194805206	0.0029699335917675474
NaaN	0.010876948051948047	0.0024039516409772497
H1p	0.006067938311688343	0.0020814716901192635
Chi_Dz(v)	0.005252272727272761	0.002009538861780119
SM03_EA	0.005080600649350681	0.00217354664050981
TDB06v	0.004396103896103929	0.0019457751846809824
CATS3D_00_DA	0.004013798701298734	0.0017837531660388776
minaaN	0.003991801948051982	0.00172226404443831
WiA_D/Dt	0.0034736201298701586	0.0019132407365811655
RDF120i	0.003388474025974055	0.0016030206793182197
E1v	0.0033231331168831458	0.001465191876923065
B06[C-F]	0.0027866883116883364	0.0014219004144092695
RDF045v	0.002740259740259764	0.0015312374685826728
SP19	0.002650568181818205	0.001852608069667526
E3p	0.0024515422077922297	0.0011826407083754152
F08[C-C]	0.0024476461038961256	0.0017622162170654928
CATS3D_01_LL	0.002424675324675346	0.0015492483174531536
VE3_B(i)	0.0024213474025974245	0.0013038186491286915
R3u	0.002177353896103915	0.0015215841089237295
NssO	0.002167370129870149	0.0009216977077589618
R5u	0.0021582792207792403	0.0008510423245904026
VE1sign_B(i)	0.0019409090909091081	0.0008243183602112054
VR2_Dt	0.001892613636363653	0.0011310972324722567
CATS3D_00_AA	0.0018797889610389776	0.001486145040233347
HATS5v	0.001681168831168846	0.0010451351653803808
Q2	0.0016675324675324823	0.0013641292399310923
SM10_AEA(dm)	0.001554220779220793	0.0005481997438741455
SpDiam_EA(bo)	0.0015186688311688446	0.0008863989426154224
Mor26e	0.0014590097402597533	0.0010046897293902821
SpMax6_Bh(v)	0.001406087662337675	0.0011467052356025707
RBN	0.001405600649350662	0.001061207615745816
BIC0	0.0013281655844155963	0.001049567383786314
VE1sign_B(v)	0.001177678571428582	0.0012944810666116763
QED	0.000917857142857151	0.0008921526736788477
SpMAD_Dz(p)	0.0005930194805194857	0.0006115324812881488
Wi_Dz(e)	0.0005927759740259793	0.0005720887878646646
Ho_RG	0.000585227272727278	0.0007973403137558672
Mor06u	0.0005376623376623425	0.0005936023964120672
IAC	0.0005168019480519526	0.0005541597149748899
VE2sign_Dz(m)	0.00041964285714286083	0.0011143836116101525
B06[C-S]	0.00035714285714286034	0.0007311505210966653
SpMax7_Bh(p)	0.00022800324675324878	0.0007458683306693546
WiA_H2	0.00017175324675324828	0.0006668825636386691
VE2_B(p)	3.831168831168865e-05	0.0009173773547438427
EE_Dz(i)	2.9464285714285975e-05	0.00015902113414890753
Mor11p	-1.0227272727272818e-05	0.0007506432945594533
Eig09_AEA(dm)	-7.061688311688374e-05	0.0006084041130766414
Eig07_AEA(ri)	-0.0002586038961038984	0.0007836446223936294
VE2sign_Dz(i)	-0.001102922077922088	0.0008170531149893447
