file name,name,smiles,EGFR.csv,ER-beta.csv,HER2.csv,NFKB.csv,PR.csv,molecular weight
EGFR+HER2.smi,50544374::ABLSECMUBQGKAB-JBACZVJFSA-N,O=S(=O)(N1C[C@@H]([C@H](C1)NC(=O)c1nnc(s1)c1ccc(cc1)F)C(=O)N[C@@H]1CNCCC1)c1ccccc1,,,,,,558.661
EGFR+HER2.smi,50543389::IFABVSSPEQYGNT-UHFFFAOYSA-N,c1(c(c(ccn1)c1cc(c(=O)n(c1)C)NC(=O)c1cccnc1)CO)N1C(=O)c2n(CC1)c1c(c2)CC(C1)(C)C,-9.7,,,,,538.608
EGFR+HER2.smi,50543375::MGNOAIMBMHVFHF-DEOSSOPVSA-N,n12CCN(C(=O)c1cc1c2CC(C1)(C)C)c1c(c(ccn1)c1cc(c(=O)n(c1)C)NC(=O)[C@H]1OCCC1)CO,-10,,-10.7,,,531.613
EGFR+HER2.smi,50543374::PBVXJCXOUNRZTP-UHFFFAOYSA-N,n12CCN(C(=O)c1cc1c2CC(C1)(C)C)c1c(c(ccn1)c1cc(c(=O)n(c1)C)NC(=O)COC)CO,-8.5,,-9.3,,,505.575
EGFR+HER2.smi,50541847::ZKMGZYSIOPAPQS-REWPJTCUSA-N,c12c(cc(cc1)C)C(=O)N([C@H](c1cc3nc(c(c(N(CCCCO2)C)n3n1)C)N1C[C@H](CC1)N)CC)C,-9.7,,-7.3,,,505.667
EGFR+HER2.smi,50541845::OYUHABVDNKYCRX-RXVVDRJESA-N,c12c(cc(cc1)C)C(=O)N([C@H](c1cc3nc(cc(NCCCCO2)n3n1)N1C[C@H](CC1)N)CC)C,-10,,-7,,,477.613
EGFR+HER2.smi,50541844::DCBRXNQJGVHYQZ-URXFXBBRSA-N,c12c(cc(cc1)C)C(=O)N([C@H](c1cc3nc(cc(N(CCCCCCO2)C)n3n1)N1C[C@H](CC1)N)CC)C,-10.2,,-4.5,,,519.694
EGFR+HER2.smi,50541843::HEGMDOIVARKSDX-REWPJTCUSA-N,c12c(cc(cc1)C)C(=O)N([C@H](c1cc3nc(cc(N(CCCCCO2)C)n3n1)N1C[C@H](CC1)N)CC)C,-10,,-5.9,,,505.667
EGFR+HER2.smi,50541842::ORVBQTOUPZERRO-UGKGYDQZSA-N,c12c(cc(cc1)C)C(=O)N([C@H](c1cc3nc(cc(N(CCCCO2)C)n3n1)N1C[C@H](CC1)N)CC)C,-9.4,,-6.6,,,491.64
EGFR+HER2.smi,50541841::JNVKHGCTAKXYOJ-RXVVDRJESA-N,c1c(nc2n3c1N(CCCOc1c(C(=O)N([C@H](c(c2)n3)CC)C)cc(cc1)C)C)N1C[C@H](CC1)N,-9.4,,-7.1,,,477.613
EGFR+HER2.smi,50539993::YCUVXTMATYQVFD-UHFFFAOYSA-N,CN(CC)c1c2cc(S(=O)(=O)Nc3c(C)nn(C)c3C)ccc2nc(N([C@H]2CN(CC2)C)C)n1,-8.6,,-9,,,486.646
EGFR+HER2.smi,50539991::UGVXOZBNOFZTCH-UHFFFAOYSA-N,CN(CC)c1c2cc(S(=O)(=O)Nc3c(C)nn(C)c3C)ccc2nc(N(C2CCNCC2)C)n1,-8.5,,-9.5,,,486.646
