file name,name,smiles,LogS,LogD,LogP,Pgp-inh,Pgp-sub,HIA,F(20%),F(30%),Caco-2,MDCK,BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,NonGenotoxic_Carcinogenicity,LD50_oral,Genotoxic_Carcinogenicity_Mutagenicity,SureChEMBL,NonBiodegradable,Skin_Sensitization,Acute_Aquatic_Toxicity,Toxicophores,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle,QED_PASS,SYNTH_PASS,MCE-18_PASS,PASS
egfr+her2.smi,188812::VQJKZXIKCUIQOX-UHFFFAOYSA-N,n1n(c(cc1C1CCNCC1)NC(=O)c1c2n(nc1)cccn2)C1CCOCC1,-0.779,0.874,0.842,0.227,0.987,0.011,0.005,0.787,-5.668,7.19E-06,0.65,69.55%,1.656,51.90%,0.035,0.121,0.052,0.384,0.017,0.747,0.009,0.292,0.029,0.265,6.495,0.202,0.327,0.977,0.97,0.03,0.123,0.965,0.296,0.66,0.003,0.008,0.547,-0.074,1.926,2.278,3.916,0.004,0.003,0.347,0.936,0.247,0.011,0.003,0.772,0.123,0.029,0.133,0.18,395.21,387.796,1.019,9,2,101.6,4,5,9,9,0,29,0.138,0,0,0,0,0,1,0,0,0,0.698,3.403,0.5,64,-1.458,2,0,0,0,Accepted,Accepted,Accepted,Accepted,TRUE,TRUE,TRUE,TRUE
egfr+her2.smi,216448::SPONHPDHHBKHKE-UHFFFAOYSA-N,n1cc2CN(Cc2cc1)C(=O)Nc1ccc(cc1)C(=O)N1CC[C@]21CNCCC2,-1.641,1.044,0.852,0.003,0.995,0.249,0.799,0.977,-5.75,3.09E-06,0.86,48.61%,2.095,61.84%,0.075,0.567,0.269,0.526,0.339,0.15,0.796,0.76,0.927,0.755,3.623,0.39,0.495,0.903,0.821,0.02,0.3,0.94,0.842,0.35,0.003,0.006,0.656,-0.009,2.029,2.109,3.15,0.01,0.003,0.728,0.016,0.143,0.005,0.006,0.715,0.032,0.011,0.505,0.049,391.2,397.758,0.984,7,2,77.57,5,5,9,7,0,28,0.179,1,0,0,1,0,1,5,0,1,0.825,3.619,0.409,119.097,-0.907,0,0,0,0,Accepted,Accepted,Accepted,Accepted,TRUE,TRUE,TRUE,TRUE
egfr+her2.smi,473189::HKOBLTPSROKNNY-UHFFFAOYSA-N,n1cnc2c(c1N)c(nn2C[C@H]1SSC[C@@H]1O)C#Cc1ccccc1,-3.228,3.179,2.441,0.016,0.004,0.229,0.009,0.995,-5.642,4.47E-06,0.138,84.23%,1.01,6.40%,0.873,0.333,0.845,0.107,0.811,0.733,0.887,0.155,0.765,0.35,11.917,0.294,0.185,0.919,0.983,0.936,0.855,0.884,0.942,0.157,0.007,0.081,0.967,0.716,4.501,6.27,5.685,0.002,0.794,0.962,0.98,0.308,0.669,0.979,0.963,0.929,0.698,0.538,0.984,369.07,345.426,1.068,6,3,90.58,2,4,9,8,0,23,0.087,2,0,0,0,1,0,3,2,2,0.473,4.453,0.235,65.714,-0.006,0,0,0,0,Accepted,Accepted,Accepted,Accepted,FALSE,TRUE,TRUE,FALSE
egfr+her2.smi,50432394::GFSMRUUAQITBGI-QGZVFWFLSA-N,n1c(cc(cc1)n1c(nc2c1cccc2)c1cc(ccc1)O)N[C@@H]1CCCNC1,-2.935,2.836,3.142,0.912,0.999,0.011,0.012,0.068,-5.797,1.02E-05,0.486,79.19%,0.888,16.97%,0.915,0.611,0.167,0.058,0.043,0.136,0.972,0.878,0.452,0.343,6.268,0.687,0.947,0.978,0.184,0.899,0.634,0.991,0.91,0.033,0.003,0.011,0.776,0.818,4.885,5.741,6.154,0.041,0.005,0.888,0.046,0.334,0.003,0.002,0.501,0.549,0.056,0.721,0.238,385.19,400.991,0.961,6,3,78.23,3,5,9,6,0,29,0.103,1,0,0,0,0,1,1,0,3,0.506,3.497,0.217,80.571,-0.563,1,0,0,0,Accepted,Accepted,Accepted,Accepted,FALSE,TRUE,TRUE,FALSE
er.smi,149740::UFQBEFKDLIPXMN-UHFFFAOYSA-N,c1(c(cc2c(c1)[C@@]1(C3(CO2)CC3)COC(=N1)N)F)Br,-3.373,2.696,2.712,0.005,0.001,0.019,0.001,0.003,-4.779,1.86E-05,0.967,90.13%,2.942,20.97%,0.906,0.606,0.775,0.784,0.708,0.853,0.923,0.901,0.224,0.429,2.658,0.184,0.045,0.843,0.164,0.369,0.828,0.952,0.09,0.987,0.004,0.035,0.869,0.629,3.085,4.001,6.369,0.006,0.022,0.545,0.346,0.312,0.006,0.01,0.482,0.597,0.776,0.458,0.952,326.01,253.558,1.286,4,2,54.34,0,4,10,6,0,20,0,1,0,0,0,0,2,1,1,1,0.77,4.999,0.462,106.526,0.442,1,0,0,0,Accepted,Accepted,Accepted,Accepted,TRUE,TRUE,TRUE,TRUE
er.smi,50189075::PJGGLTSPHFWUOS-UHFFFAOYSA-N,c1cc2c(C[C@@]3(C2=C(C(=O)CC3)Br)CC)c2c1nn[nH]2,-4.004,2.028,2.534,0.002,0.035,0.01,0.004,0.004,-4.743,2.02E-05,0.294,94.10%,1.035,2.32%,0.807,0.792,0.66,0.466,0.545,0.664,0.131,0.166,0.757,0.666,1.707,0.723,0.022,0.109,0.812,0.871,0.728,0.844,0.568,0.808,0.612,0.379,0.981,0.515,5.004,5.336,5.151,0.006,0.766,0.933,0.905,0.392,0.593,0.979,0.967,0.863,0.095,0.962,0.927,331.03,279.016,1.186,4,1,58.64,1,4,16,5,0,20,0.05,2,2,0,3,0,1,2,1,2,0.804,4.782,0.4,74.381,0.315,1,2,0,0,Accepted,Accepted,Accepted,Accepted,TRUE,TRUE,TRUE,TRUE
er.smi,50487909::BWXJQHJHGMZLBT-SLPXSTGGSA-N,C1C[C@H]2[C@@]3(CC[C@H]([C@]1(C3)C)O)[C@H](CC2(C)C)O,-3.246,2.846,2.573,0.001,0.291,0.004,0.092,0.96,-4.83,1.35E-05,0.249,82.31%,1.08,26.34%,0.02,0.267,0.02,0.849,0.052,0.648,0.011,0.496,0.167,0.156,7.125,0.513,0.03,0.309,0.02,0.017,0.957,0.92,0.452,0.157,0.264,0.538,0.965,0.848,3.623,4.117,5.175,0.658,0.178,0.009,0.305,0.141,0.01,0.016,0.056,0.077,0.158,0.822,0.349,238.19,259.907,0.916,2,2,40.46,0,3,11,2,0,14,0,5,0,0,0,0,0,0,1,0,0.681,5.577,1,79.8,3.122,0,0,0,0,Accepted,Accepted,Accepted,Accepted,TRUE,TRUE,TRUE,TRUE
er.smi,50018697::GTGGDWUGNLGPSN-UHFFFAOYSA-N,C1(CCCCC1)(C#Cc1nc(c2c(n1)n(c(n2)c1occc1)CC#C)N)O,-2.928,2.117,2.035,0.199,0.002,0.458,0.036,0.011,-4.824,1.72E-05,0.114,94.30%,0.812,1.56%,0.87,0.642,0.894,0.066,0.914,0.363,0.913,0.373,0.663,0.224,7.041,0.368,0.058,0.986,0.973,0.107,0.793,0.838,0.103,0.933,0.003,0.023,0.982,0.877,3.533,5.782,5.416,0.003,0.016,0.944,0.94,0.52,0.01,0.582,0.921,0.472,0.405,0.527,0.95,361.15,366.45,0.986,7,3,103.72,2,4,9,7,0,24,0.083,0,0,0,0,1,0,1,0,5,0.609,3.664,0.35,53.778,-0.832,0,0,0,0,Accepted,Accepted,Accepted,Accepted,FALSE,TRUE,TRUE,FALSE
nfkb.smi,483950::MPPXZIKQJFVJPQ-KHPPLWFESA-N,c1(nc2c(cc1)nc([nH]2)[C@@]1(F)CCCN(C1)C#N)c1ccn[nH]1,-3.364,2.078,1.813,0.002,0.727,0.008,0.002,0.002,-4.897,6.33E-06,0.504,85.66%,0.674,21.28%,0.626,0.762,0.353,0.054,0.298,0.317,0.136,0.202,0.589,0.183,5.057,0.745,0.411,0.916,0.967,0.186,0.823,0.927,0.053,0.192,0.003,0.012,0.981,0.148,2.189,2.931,5.566,0.057,0.01,0.218,0.876,0.162,0.008,0.035,0.373,0.251,0.01,0.16,0.819,311.13,295.724,1.052,7,2,97.28,2,4,9,8,0,22,0.091,1,1,0,0,1,1,0,2,0,0.706,4.436,0.333,73.5,-0.885,0,0,0,0,Accepted,Accepted,Accepted,Accepted,TRUE,TRUE,TRUE,TRUE
nfkb.smi,50221641::JYDXOANMKLNUBG-UHFFFAOYSA-N,c1(c(cc2c(c1)nc(c(n2)N1CCC(=O)N1)S(=O)(=O)C)Cl)Cl,-3.799,1.282,1.474,0.068,0.001,0.004,0.001,0.003,-5.538,2.29E-05,0.009,95.66%,0.459,1.26%,0.711,0.863,0.408,0.616,0.178,0.803,0.022,0.168,0.28,0.829,1.437,0.213,0.461,0.719,0.991,0.055,0.806,0.951,0.114,0.948,0.003,0.009,0.931,0.022,2.715,4.174,4.366,0.004,0.006,0.701,0.012,0.045,0.005,0.018,0.754,0.006,0.007,0.36,0.158,359.99,293.909,1.225,7,1,92.26,2,3,10,10,0,19,0.105,0,1,0,2,0,1,0,1,2,0.873,3.029,0.25,45.333,-0.937,1,0,0,0,Accepted,Accepted,Accepted,Accepted,TRUE,TRUE,TRUE,TRUE
