file name,name,smiles,LogS,LogD,LogP,Pgp-inh,Pgp-sub,HIA,F(20%),F(30%),Caco-2,MDCK,BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,NonGenotoxic_Carcinogenicity,LD50_oral,Genotoxic_Carcinogenicity_Mutagenicity,SureChEMBL,NonBiodegradable,Skin_Sensitization,Acute_Aquatic_Toxicity,Toxicophores,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle
egfr+her2.smi,101236::FKHGTMQRLLWPJO-FNORWQNLSA-N,c12c(ncnc1Nc1cc(c(cc1)OCc1ncccc1)Cl)sc1c2CN(C1)C(=O)/C=C/CN(C)C,-4.185,3.204,3.515,0.273,0.201,0.021,0.003,0.297,-5.185,2.72e-05,0.691,91.89%,1.526,7.71%,0.874,0.426,0.975,0.105,0.926,0.716,0.861,0.121,0.944,0.503,8.007,0.377,0.756,0.927,0.94,0.014,0.134,0.902,0.801,0.06,0.003,0.008,0.286,1.092,2.949,4.228,4.08,0.011,0.805,0.988,0.978,0.809,0.649,0.952,0.885,0.615,0.811,0.948,0.967,520.14,501.113,1.038,8.0,1.0,86.71,8.0,5.0,12.0,10.0,0.0,29.0,0.276,0.0,1.0,0.0,0.0,1.0,3.0,2.0,1.0,4.0,0.378,3.556,0.231,57.375,-1.415,3.0,0.0,0.0,0.0,Accepted,Accepted,Rejected,Rejected
egfr+her2.smi,112502::XFXOYVZSTQCSQN-HWKANZROSA-N,O(c1c(NC(=O)/C=C/CN2CCC[C@H](C2)F)cc2c(c1)ncnc2Nc1cc(c(cc1)F)Cl)C,-4.125,3.327,4.088,0.998,0.996,0.004,0.002,0.002,-5.281,1.62e-05,0.873,97.06%,1.478,3.75%,0.718,0.621,0.847,0.294,0.801,0.71,0.967,0.884,0.799,0.653,4.71,0.257,0.954,0.957,0.969,0.866,0.866,0.895,0.949,0.064,0.003,0.013,0.94,1.476,4.581,6.224,6.635,0.022,0.143,0.977,0.843,0.067,0.003,0.013,0.626,0.06,0.862,0.794,0.478,487.16,462.98,1.052,7.0,2.0,82.61,7.0,4.0,10.0,10.0,0.0,26.0,0.269,1.0,2.0,0.0,1.0,0.0,1.0,6.0,5.0,3.0,0.501,3.644,0.292,76.419,-1.224,5.0,0.0,0.0,0.0,Accepted,Accepted,Rejected,Accepted
egfr+her2.smi,133702::BTYFROXGYQVTDB-UHFFFAOYSA-N,C=CC(=O)Nc1c(cc2ncnc(c2c1)Nc1c(cc(cc1)Br)F)OCCNC(=O)C,-4.825,2.74,2.589,0.983,0.238,0.041,0.001,0.004,-5.087,1.64e-05,0.506,91.75%,1.242,8.50%,0.873,0.435,0.825,0.094,0.551,0.656,0.894,0.117,0.784,0.495,1.998,0.346,0.198,0.678,0.979,0.295,0.267,0.888,0.46,0.147,0.003,0.01,0.36,0.602,3.95,5.118,5.794,0.017,0.293,0.962,0.687,0.254,0.01,0.588,0.837,0.507,0.864,0.765,0.946,487.07,423.807,1.149,8.0,3.0,108.47,9.0,3.0,10.0,10.0,0.0,21.0,0.429,0.0,1.0,0.0,1.0,0.0,1.0,7.0,4.0,4.0,0.35,3.099,0.143,19.0,-1.087,6.0,2.0,0.0,0.0,Accepted,Accepted,Rejected,Accepted
egfr+her2.smi,133704::RWBZRZZVHCQBPV-UHFFFAOYSA-N,C=CC(=O)Nc1c(cc2ncnc(c2c1)Nc1c(cc(cc1)Br)F)OCCCCNC(=O)C,-4.914,3.05,3.196,0.995,0.335,0.015,0.001,0.003,-5.13,2.38e-05,0.295,92.82%,1.138,6.34%,0.767,0.298,0.893,0.115,0.63,0.728,0.931,0.132,0.879,0.432,2.192,0.277,0.321,0.756,0.97,0.289,0.316,0.9,0.491,0.145,0.003,0.01,0.52,0.787,4.187,5.565,5.91,0.018,0.169,0.969,0.77,0.264,0.008,0.713,0.867,0.639,0.901,0.785,0.957,515.1,458.399,1.124,8.0,3.0,108.47,11.0,3.0,10.0,10.0,0.0,21.0,0.524,0.0,1.0,0.0,1.0,0.0,1.0,7.0,4.0,4.0,0.294,3.089,0.217,19.0,-0.978,6.0,2.0,0.0,0.0,Accepted,Accepted,Rejected,Rejected
egfr+her2.smi,133708::YMDWARQKAFASNA-UHFFFAOYSA-N,C=CC(=O)Nc1c(cc2ncnc(c2c1)Nc1c(cc(cc1)Br)F)OCCNC(=O)N,-5.126,2.775,2.432,0.679,0.982,0.017,0.001,0.012,-5.356,1.29e-05,0.127,94.37%,0.988,6.86%,0.912,0.332,0.726,0.071,0.509,0.796,0.905,0.23,0.683,0.256,2.819,0.218,0.207,0.476,0.983,0.408,0.247,0.898,0.528,0.105,0.003,0.008,0.435,0.594,3.879,5.038,6.049,0.02,0.012,0.923,0.096,0.263,0.021,0.443,0.848,0.653,0.8,0.812,0.934,488.06,417.508,1.169,9.0,5.0,134.49,9.0,3.0,10.0,11.0,0.0,21.0,0.429,0.0,1.0,0.0,1.0,0.0,1.0,7.0,4.0,4.0,0.3,3.149,0.1,19.0,-1.172,6.0,2.0,0.0,0.0,Accepted,Accepted,Rejected,Accepted
egfr+her2.smi,133726::HFPYKICVHQECPZ-UHFFFAOYSA-N,C=CC(=O)Nc1c(cc2ncnc(c2c1)Nc1c(cc(cc1)Br)F)OCCN(C)C(=O)C,-5.033,2.862,3.014,0.994,0.013,0.039,0.003,0.007,-4.9,2.05e-05,0.322,94.53%,1.146,4.06%,0.915,0.614,0.861,0.135,0.536,0.732,0.899,0.133,0.753,0.787,2.345,0.443,0.323,0.939,0.971,0.174,0.601,0.855,0.393,0.228,0.003,0.013,0.359,1.097,3.725,5.1,6.105,0.033,0.433,0.97,0.831,0.271,0.023,0.819,0.829,0.751,0.937,0.812,0.966,501.08,441.103,1.136,8.0,2.0,99.68,9.0,3.0,10.0,10.0,0.0,21.0,0.429,0.0,1.0,0.0,1.0,0.0,2.0,7.0,4.0,4.0,0.482,3.197,0.182,20.0,-1.157,6.0,2.0,0.0,0.0,Accepted,Accepted,Rejected,Rejected
egfr+her2.smi,133740::KBHOZTNSGNVWQF-UHFFFAOYSA-N,C=CC(=O)Nc1c(cc2ncnc(c2c1)Nc1c(cc(cc1)Br)F)OCCNC(=O)CN(C)CC,-3.962,2.992,2.996,0.962,0.47,0.025,0.001,0.002,-5.309,1.6e-05,0.881,89.36%,2.178,15.36%,0.731,0.68,0.722,0.095,0.371,0.653,0.873,0.171,0.625,0.839,6.166,0.444,0.868,0.532,0.973,0.137,0.545,0.91,0.405,0.065,0.003,0.007,0.954,0.912,3.891,5.318,6.25,0.021,0.109,0.962,0.537,0.14,0.011,0.254,0.483,0.041,0.842,0.625,0.902,544.12,486.692,1.118,9.0,3.0,111.71,12.0,3.0,10.0,11.0,0.0,21.0,0.571,0.0,1.0,0.0,1.0,0.0,2.0,7.0,4.0,4.0,0.268,3.196,0.25,20.0,-1.4,6.0,2.0,0.0,0.0,Accepted,Accepted,Rejected,Rejected
egfr+her2.smi,133799::JCPZKXGIFPYHHJ-UHFFFAOYSA-N,C=CC(=O)Nc1c(cc2ncnc(c2c1)Nc1c(c(ccc1)Cl)F)OCCNC(=O)CN(C)C,-4.197,2.812,2.268,0.081,0.98,0.012,0.001,0.005,-5.222,9.97e-06,0.822,85.89%,2.266,8.77%,0.806,0.73,0.463,0.115,0.259,0.72,0.841,0.209,0.567,0.902,9.966,0.431,0.779,0.686,0.977,0.192,0.507,0.878,0.491,0.073,0.003,0.008,0.886,0.816,3.623,4.891,5.715,0.019,0.174,0.969,0.75,0.131,0.014,0.171,0.548,0.034,0.837,0.671,0.909,486.16,465.324,1.045,9.0,3.0,111.71,11.0,3.0,10.0,11.0,0.0,21.0,0.524,0.0,1.0,0.0,1.0,0.0,2.0,8.0,4.0,4.0,0.318,3.191,0.217,20.0,-1.307,5.0,2.0,0.0,0.0,Accepted,Accepted,Rejected,Accepted
egfr+her2.smi,133802::PSPLRUCSARYWEJ-UHFFFAOYSA-N,C=CC(=O)Nc1c(cc2ncnc(c2c1)Nc1c(cc(cc1F)Br)F)OCCNC(=O)C,-4.74,2.664,2.494,0.992,0.055,0.058,0.001,0.003,-5.329,1.6e-05,0.233,92.74%,1.212,5.68%,0.896,0.401,0.824,0.11,0.624,0.674,0.876,0.105,0.792,0.482,1.931,0.326,0.127,0.765,0.971,0.143,0.473,0.861,0.531,0.153,0.003,0.009,0.646,0.789,3.586,4.881,6.15,0.017,0.126,0.956,0.541,0.21,0.009,0.8,0.674,0.421,0.414,0.731,0.944,505.06,429.875,1.175,8.0,3.0,108.47,9.0,3.0,10.0,11.0,0.0,21.0,0.429,0.0,1.0,0.0,1.0,0.0,1.0,7.0,4.0,4.0,0.337,3.246,0.143,20.0,-0.82,6.0,2.0,0.0,0.0,Accepted,Accepted,Rejected,Rejected
egfr+her2.smi,133806::ARBSTGKTOSHPOE-UHFFFAOYSA-N,C=CC(=O)Nc1c(cc2ncnc(c2c1)Nc1c(c(c(cc1)Br)F)F)OCCNC(=O)CN(C)C,-4.711,2.824,2.385,0.09,0.128,0.075,0.002,0.002,-5.319,1.43e-05,0.75,91.78%,2.291,6.38%,0.806,0.704,0.587,0.103,0.354,0.819,0.831,0.244,0.475,0.831,8.058,0.35,0.814,0.703,0.979,0.272,0.698,0.876,0.587,0.084,0.003,0.008,0.962,0.958,4.03,5.063,6.32,0.033,0.722,0.965,0.649,0.129,0.015,0.26,0.594,0.065,0.796,0.727,0.915,548.1,475.464,1.153,9.0,3.0,111.71,11.0,3.0,10.0,12.0,0.0,21.0,0.524,0.0,1.0,0.0,1.0,0.0,2.0,8.0,4.0,4.0,0.216,3.357,0.217,21.0,-1.077,6.0,2.0,0.0,0.0,Accepted,Accepted,Rejected,Rejected
